invoiceDate,invoiceNumber,purchaseDealer,receivedDate,manufactureDate,model,grade,fuelType,suffix,exteriorColor,interiorColor,chassisNumber,engineNumber,keyNumber,location,invoiceValue,age,interest,vehicleStatus
19/02/25,6934003543,Anant Gwalior,24/02/25,1905,URBAN CRUISER TAISOR,E MT,PETROL,D27TS,CAFE WHITE,BLACK,MBHLWF13SSB490285,K12NP 7628200,5730,Gwalior,760390.51,115,31144.76198,FREE
19/02/25,6934003543,Anant Gwalior,24/02/25,1905,URBAN CRUISER TAISOR,E MT,PETROL,D27TS,CAFE WHITE,BLACK,MBHLWF13SSA474555,K12NP 7619945,5917,Gwalior,760390.51,115,31144.76198,FREE
21/02/25,6934003663,Anant Gwalior,26/02/25,1905,URBAN CRUISER TAISOR,E MT,PETROL,D27TS,CAFE WHITE,BLACK,MBHLWF13SSB489555,K12NP 7627781,5201,Gwalior,,113,,FREE
04/03/25,6934004415,Anant Gwalior,11/03/25,1905,URBAN CRUISER TAISOR,E MT,PETROL,D27TS,CAFE WHITE,BLACK,MBHLWF13SSA471247,K12NP 7618415,5086,Gwalior,760390.51,102,27624.04976,FREE
27/03/25,6934005868,Anant Gwalior,31/03/25,1905,URBAN CRUISER TAISOR,E MT,PETROL,D27TS,CAFE WHITE,BLACK,MBHLWF13SSC521187,K12NP 7646535,6179,Gwalior,760390.51,79,21395.09736,FREE
26/05/25,6935002933,Anant Gwalior,31/05/25,1905,URBAN CRUISER TAISOR,E MT,PETROL,D27TS,CAFE WHITE,BLACK,MBHLWF13SSE566776,K12NP 7669391,5238,Gwalior,761100.01,19,5150.457602,FREE
25/02/25,6934003900,Anant Gwalior,03/03/25,1905,URBAN CRUISER TAISOR,E MT CNG,CNG,D27T3,ENTICING SILVER,BLACK,MBHLWF13SSB486206,K12NP 7625965,6296,Gwalior,858390.52,109,33324.36621,BOOKED
04/03/25,6934004415,Anant Gwalior,11/03/25,1905,URBAN CRUISER TAISOR,E MT CNG,CNG,D27T3,ENTICING SILVER,BLACK,MBHLWF13SSB498615,K12NP 7632840,5421,Gwalior,858390.52,102,31184.2693,FREE
08/05/25,6934003879,Select Jabalpur,09/05/25,1905,URBAN CRUISER TAISOR,E MT CNG,CNG,D27T3,CAFE WHITE,BLACK,MBHLWF13SSA480664,K12NP 7623021,5909,Morena,,37,,BOOKED
19/05/25,6934004731,Anant Indore,21/05/25,1905,URBAN CRUISER TAISOR,E MT CNG,CNG,D27T3,CAFE WHITE,BLACK,MBHLWF13SSB504668,K12NP 7636843,5364,Gwalior,,26,,BOOKED
26/05/25,6935002962,Anant Gwalior,31/05/25,1905,URBAN CRUISER TAISOR,E MT CNG,CNG,D27T3,CAFE WHITE,BLACK,MBHLWF13SSE576734,K12NP 7674831,5384,Gwalior,859100.01,19,5813.635684,FREE
02/06/25,6935003407,Anant Gwalior,07/06/25,1905,URBAN CRUISER TAISOR,E MT CNG,CNG,D27T3,CAFE WHITE,BLACK,MBHLWF13SSE578070,K12NP 7675469,5676,Gwalior,859100.01,12,3671.769906,FREE
16/01/25,8824032912,Anant Gwalior,06/02/25,1905,URBAN CRUISER TAISOR,G AT (TURBO),PETROL,D27TC,LUCENT ORANGE,BLACK,MBHLWF43SRL409574,K10CP 7028212,50871,Gwalior,1148524.67,149,60950.47358,FREE
16/01/25,8824032913,Anant Gwalior,06/02/25,1905,URBAN CRUISER TAISOR,G MT (TURBO),PETROL,D27TD,ENTICING SILVER,BLACK,MBHLWF43SRL411100,K10CP 7028320,51278,Gwalior,1013942.66,149,53808.40911,FREE
16/01/25,8824032913,Anant Gwalior,06/02/25,1905,URBAN CRUISER TAISOR,G MT (TURBO),PETROL,D27TD,ENTICING SILVER,BLACK,MBHLWF43SRL411716,K10CP 7028352,51137,Gwalior,1013942.66,149,53808.40911,FREE
22/01/25,8824033826,Anant Gwalior,25/01/25,1905,URBAN CRUISER TAISOR,G MT (TURBO),PETROL,D27TD,SPORTIN RED,BLACK,MBHLWF43SRL421505,K10CP 7028984,50984,Gwalior,1013943,143,51641.64485,FREE
24/01/25,6934002129,Anant Gwalior,29/01/25,1905,URBAN CRUISER TAISOR,G MT (TURBO),PETROL,D27TD,CAFE WHITE,BLACK,MBHLWF43SRM452666,K10CP 7030468,50107,Ashok Nagar,1013943,141,50919.38408,BOOKED
07/03/25,6934004592,Anant Gwalior,13/03/25,1905,URBAN CRUISER TAISOR,G MT (TURBO),PETROL,D27TD,CAFE WHITE,BLACK,MBHLWF43SRL429252,K10CP 7029471,50042,Gwalior,1014423.32,99,35768.84419,BOOKED
20/01/25,6934001945,Anant Gwalior,23/01/25,1905,URBAN CRUISER TAISOR,S+ AMT,PETROL,D27TE,GAMING GREY,BLACK,MBHLWF13SSA465831,K12NP 7615365,6260,Gwalior,925864,145,47815.16822,FREE
10/04/25,6935000483,Anant Gwalior,15/04/25,1905,URBAN CRUISER TAISOR,S+ AMT,PETROL,D27TO,GAMING GREY,BLACK,MBHLWF13SSB503196,K12NP 7636904,5502,Gwalior,931924.21,65,21574.68377,FREE
19/02/25,6934003543,Anant Gwalior,24/02/25,1905,URBAN CRUISER TAISOR,S+ AMT,PETROL,D27TO,CAFE WHITE,BLACK,MBHLWF13SSA476933,K12NP 7621083,5068,Gwalior,931214.72,115,38141.53442,FREE
04/03/25,6934004415,Anant Gwalior,11/03/25,1905,URBAN CRUISER TAISOR,S+ AMT,PETROL,D27TO,CAFE WHITE,BLACK,MBHLWF13SSA480589,K12NP 7622946,5546,Gwalior,931214.72,102,33829.8827,FREE
07/05/25,6935001842,Anant Gwalior,10/05/25,1905,URBAN CRUISER TAISOR,S+ AMT,PETROL,D27TO,CAFE WHITE,BLACK,MBHLWF13SSD554856,K12NP 7663095,6297,Gwalior,,38,,FREE
20/02/25,6934003626,Anant Gwalior,24/02/25,1905,URBAN CRUISER TAISOR,S+ MT,PETROL,D27TP,ENTICING SILVER,BLACK,MBHLWF13SSA478319,K12NP 7621756,5008,Gwalior,874793.41,114,35519.00914,FREE
20/02/25,6934003627,Anant Gwalior,24/02/25,1905,URBAN CRUISER TAISOR,S+ MT,PETROL,D27TP,ENTICING SILVER,BLACK,MBHLWF13SSB490459,K12NP 7628301,5093,Gwalior,874793.41,114,35519.00914,FREE
04/03/25,6934004415,Anant Gwalior,11/03/25,1905,URBAN CRUISER TAISOR,S+ MT,PETROL,D27TP,ENTICING SILVER,BLACK,MBHLWF13SSA479837,K12NP 7622591,5219,Gwalior,874793.41,102,31780.16607,FREE
11/04/25,6935000556,Anant Gwalior,15/04/25,1905,URBAN CRUISER TAISOR,S+ MT,PETROL,D27TP,ENTICING SILVER,BLACK,MBHLWF13SSC533609,K12NP 7653309,5253,Shivpuri,875502.92,64,19956.6693,FREE
16/04/25,6935000845,Anant Gwalior,21/04/25,1905,URBAN CRUISER TAISOR,S+ MT,PETROL,D27TP,ENTICING SILVER,BLACK,MBHLWF13SSC535053,K12NP 7654094,5314,Gwalior,875502.92,59,18397.55451,FREE
21/02/25,6934003663,Anant Gwalior,26/02/25,1905,URBAN CRUISER TAISOR,S+ MT,PETROL,D27TP,GAMING GREY,BLACK,MBHLWF13SSA472506,K12NP 7618974,5006,Gwalior,,113,,FREE
15/03/25,6934005074,Anant Gwalior,20/03/25,1905,URBAN CRUISER TAISOR,S+ MT,PETROL,D27TP,GAMING GREY,BLACK,MBHLWF13SSC516883,K12NP 7643988,5658,Ashok Nagar,874793.41,91,28352.89326,FREE
10/04/25,6935000483,Anant Gwalior,15/04/25,1905,URBAN CRUISER TAISOR,S+ MT,PETROL,D27TP,GAMING GREY,BLACK,MBHLWF13SSC520020,K12NP 7645851,5472,Gwalior,875502.92,65,20268.49226,FREE
07/05/25,6935001842,Anant Gwalior,10/05/25,1905,URBAN CRUISER TAISOR,S+ MT,PETROL,D27TP,GAMING GREY,BLACK,MBHLWF13SSD542018,K12NP 7657411,5389,Gwalior,,38,,FREE
13/03/25,6934004944,Anant Gwalior,19/03/25,1905,URBAN CRUISER TAISOR,S+ MT,PETROL,D27TP,CAFE WHITE,BLACK,MBHLWF13SSC516377,K12NP 7643732,5506,Gwalior,874793.41,93,28976.03377,BOOKED
21/05/25,6935002748,Anant Gwalior,24/05/25,1905,URBAN CRUISER TAISOR,S+ MT,PETROL,D27TP,CAFE WHITE,BLACK,MBHLWF13SSD553335,K12NP 7662526,5547,Gwalior,875502.92,24,7483.750987,BOOKED
23/05/25,6935002853,Anant Gwalior,26/05/25,1905,URBAN CRUISER TAISOR,S+ MT,PETROL,D27TP,CAFE WHITE,BLACK,MBHLWF13SSD561468,K12NP 7666496,6123,Gwalior,875502.92,22,6860.105072,BOOKED
26/05/25,6935002933,Anant Gwalior,31/05/25,1905,URBAN CRUISER TAISOR,S+ MT,PETROL,D27TP,CAFE WHITE,BLACK,MBHLWF13SSE565192,K12NP 7668504,5989,Gwalior,875502.92,19,5924.636198,FREE
16/04/25,6935000845,Anant Gwalior,21/04/25,1905,URBAN CRUISER TAISOR,V AT (TURBO),PETROL,D27TK,LUCENT ORANGE,BLACK,MBHLWF43SSC529851,K10CP 7036004,50615,Gwalior,1238154.42,59,26018.20384,BOOKED
08/07/24,5124004102,Anant Gwalior,07/11/24,1905,URBAN CRUISER TAISOR,V MT (TURBO),PETROL,D27TB,CAFE WHITE,BLACK,MBHLWF43SRG311920,K10CP 7017728,50371,Gwalior,1102382.27,341,133886.5919,FREE
26/02/25,6934004022,Anant Gwalior,04/03/25,1905,URBAN CRUISER TAISOR,V MT (TURBO),PETROL,D27TL,CAFE WHITE,BLACK,MBHLWF43SSB501603,K10CP 7033866,51071,Gwalior,1102862.92,108,42422.45314,FREE
16/04/25,6935000845,Anant Gwalior,21/04/25,1905,URBAN CRUISER TAISOR,V MT (TURBO),PETROL,D27TL,CAFE WHITE,BLACK,MBHLWF43SSC530802,K10CP 7036098,50652,Gwalior,1103572.41,59,23190.13804,FREE
24/10/24,5124008892,Anant Gwalior,28/10/24,1905,URBAN CRUISER TAISOR,V MT (TURBO),PETROL,D27TB,LUCENT ORANGE,BLACK,MBHLWF43SRK380372,K10CP 7025353,50409,Gwalior,1102382.27,233,91482.62728,FREE
26/11/24,5124010088,Anant Gwalior,30/11/24,1905,URBAN CRUISER TAISOR,V MT (TURBO),PETROL,D27TB,LUCENT ORANGE,BLACK,MBHLWF43SRL415795,K10CP 7028637,50353,Gwalior,1102382.27,200,78525.86033,FREE
